gyro_roll,gyro_pitch,gyro_yaw,acc_x,acc_y,acc_z
-3661,181,-1179,315,1378,-15682
4684,-3279,-639,-35,1492,-2183
3159,-2489,-597,15,-935,-9016
287,-2908,-1176,-999,493,-2968
698,-1007,-797,139,-633,-4184
6110,799,504,-21,-2747,1048
5673,-1377,134,-584,-701,-4021
346,-2625,-818,-524,-37,-6918
1101,-1718,-654,-336,129,-3256
126,-1099,-649,-223,-241,-4686
-2218,-838,-553,-1224,1541,-11502
1766,-1818,-722,-302,-123,-3690
1411,-1435,-586,-176,-329,-4613
1138,-1199,-680,-106,-77,-5449
-675,-1034,-820,-177,-203,-5685
12028,-1611,770,-3884,-4392,6019
3259,-2286,-416,114,-974,-4175
925,-2864,-861,-825,250,-3711
1820,-2107,-658,-35,-1082,-6561
-693,-1921,-951,-390,-193,-5976
7235,995,812,3196,-6072,-6708
2362,-3678,-1026,-1160,1822,-743
3241,-2865,-891,-76,-461,-2966
2220,-2130,-844,9,-889,-4577
818,-1529,-974,-51,-776,-6075
-12628,-3589,-1599,-3054,8995,-7880
1957,-2769,-605,1149,-1630,-6299
100,-2729,-682,-15,-520,-6617
2165,-1532,-350,-416,-63,-2889
117,-1125,-473,-275,-301,-5389
